,Action,Object,Image_Name,KLD,SIM,NSS
0,jump,skis,skis_002829.jpg,1.6639,0.2537,0.8065
1,jump,skateboard,skateboard_002387.jpg,1.332,0.3339,0.6912
2,jump,surfboard,surfboard_000658.jpg,5.2312,0.1595,-0.1963
3,jump,snowboard,snowboard_001704.jpg,2.953,0.3242,0.0164
4,peel,carrot,carrot_003707.jpg,0.5178,0.5816,1.9632
5,peel,orange,orange_001193.jpg,1.7468,0.5027,1.057
6,peel,banana,banana_000480.jpg,1.1828,0.3656,1.2147
7,peel,apple,apple_001541.jpg,0.2171,0.7586,1.0968
8,wash,toothbrush,toothbrush_001991.jpg,1.5212,0.2636,1.1945
9,wash,cup,cup_003621.jpg,3.6031,0.1116,-0.1116
10,wash,orange,orange_001193.jpg,0.8546,0.5444,1.1792
11,wash,fork,fork_001691.jpg,1.4396,0.4249,1.7644
12,wash,wine_glass,wine_glass_000186.jpg,0.4851,0.6324,1.7266
13,wash,bowl,bowl_002825.jpg,0.9197,0.5821,0.8236
14,wash,knife,knife_002720.jpg,1.0084,0.4003,2.1655
15,sit_on,chair,chair_002839.jpg,0.3913,0.6689,1.4075
16,sit_on,couch,couch_000779.jpg,0.664,0.5259,2.0414
17,sit_on,bed,bed_003622.jpg,0.6317,0.5336,1.7304
18,sit_on,bench,bench_001877.jpg,0.2724,0.7266,1.7265
19,sit_on,bicycle,bicycle_002100.jpg,1.0784,0.3868,2.6144
20,sit_on,motorcycle,motorcycle_000837.jpg,0.9637,0.4283,2.4895
21,sit_on,skateboard,skateboard_001460.jpg,0.7682,0.5383,0.5899
22,sit_on,surfboard,surfboard_000010.jpg,0.5394,0.717,0.2323
23,drag,suitcase,suitcase_002998.jpg,1.2902,0.3327,3.3336
24,type_on,laptop,laptop_000585.jpg,0.4681,0.6129,1.7883
25,type_on,keyboard,keyboard_000439.jpg,3.6809,0.4701,0.8639
26,pack,suitcase,suitcase_002212.jpg,0.3958,0.7064,1.309
27,cut,carrot,carrot_001443.jpg,0.643,0.5322,3.0538
28,cut,orange,orange_001193.jpg,1.7468,0.5027,1.057
29,cut,banana,banana_002623.jpg,0.8992,0.5986,1.0593
30,cut,apple,apple_000054.jpg,2.5348,0.4252,0.4753
31,ride,bicycle,bicycle_003046.jpg,1.036,0.4836,1.7479
32,ride,motorcycle,motorcycle_002198.jpg,1.2131,0.3547,1.2031
33,cut_with,scissors,scissors_002479.jpg,2.1266,0.2027,1.0148
34,cut_with,knife,knife_001749.jpg,0.5913,0.5501,2.0879
35,sip,bottle,bottle_000341.jpg,1.4593,0.3999,0.4544
36,sip,wine_glass,wine_glass_003343.jpg,6.7315,0.0159,-0.3904
37,catch,soccer_ball,soccer_ball_003333.jpg,0.1695,0.7979,1.2597
38,catch,frisbee,frisbee_000598.jpg,4.3516,0.2653,-0.0774
39,catch,rugby_ball,rugby_ball_003522.jpg,0.7672,0.6053,0.4376
40,lie_on,couch,couch_003293.jpg,0.6091,0.5565,1.5943
41,lie_on,bed,bed_002880.jpg,0.4055,0.6312,3.1054
42,lie_on,bench,bench_003727.jpg,1.9187,0.2286,0.1752
43,lie_on,surfboard,surfboard_000221.jpg,0.2815,0.7115,2.1848
44,open,bottle,bottle_001033.jpg,0.8682,0.442,3.068
45,open,refrigerator,refrigerator_002162.jpg,1.4611,0.4929,1.1486
46,open,oven,oven_001370.jpg,4.1811,0.245,0.2718
47,open,book,book_003044.jpg,0.8436,0.4577,2.2443
48,open,suitcase,suitcase_000520.jpg,7.4001,0.0289,-0.525
49,open,microwave,microwave_001049.jpg,1.7735,0.316,0.4424
50,text_on,cell_phone,cell_phone_003361.jpg,1.684,0.282,0.7481
51,boxing,punching_bag,punching_bag_001845.jpg,1.9973,0.555,0.5469
52,stir,bowl,bowl_000134.jpg,0.3606,0.698,1.0908
53,hit,baseball_bat,baseball_bat_001882.jpg,1.4656,0.3202,1.4786
54,hit,tennis_racket,tennis_racket_002268.jpg,1.3375,0.2926,1.5768
55,hit,hammer,hammer_001006.jpg,4.9984,0.1378,0.1827
56,hit,axe,axe_000961.jpg,0.9658,0.5529,1.4289
57,write,pen,pen_003590.jpg,0.9184,0.4455,1.8741
58,take_photo,cell_phone,cell_phone_000601.jpg,0.4687,0.6766,1.3837
59,take_photo,camera,camera_002534.jpg,0.7721,0.6401,0.7143
60,pour,bottle,bottle_002780.jpg,2.5284,0.3177,0.6878
61,pour,cup,cup_001535.jpg,3.4802,0.1057,0.1039
62,pour,wine_glass,wine_glass_000186.jpg,0.6749,0.5589,1.9545
63,kick,soccer_ball,soccer_ball_001588.jpg,0.1673,0.7904,2.3367
64,kick,rugby_ball,rugby_ball_002080.jpg,0.4235,0.6713,0.8294
65,kick,punching_bag,punching_bag_001639.jpg,3.0275,0.383,0.1482
66,pick_up,skis,skis_001547.jpg,1.5049,0.2681,1.5148
67,pick_up,suitcase,suitcase_002493.jpg,1.5319,0.2976,1.6618
68,carry,skis,skis_002829.jpg,0.8804,0.446,1.7361
69,carry,skateboard,skateboard_002668.jpg,0.7922,0.5816,0.5333
70,carry,surfboard,surfboard_002422.jpg,1.2135,0.4016,0.7514
71,carry,snowboard,snowboard_001325.jpg,1.6522,0.2499,1.7243
